,title,date,desc,content,keywords
0,"Rabbi Chaim Kanievsky, Venerated Talmudic Scholar, Dies at 94",2022-03-18T20:26:55Z,"He initially insisted, “Canceling Torah study is more dangerous than the coronavirus.” But he had a change of heart, even before testing positive.",Most significant was his ruling that instances of sexual abuse of children should be reported to the civic authorities and not handled exclusively within the Haredi community. This was a sharp depart… [+1849 chars],"['#ruling', '#instances', '#abuse', '#children', '#reported']"
1,Can Eric Adams Cheerlead New Yorkers Past the Pandemic?,2022-03-20T16:11:17Z,"The mayor is singularly focused on bringing back New York City’s economy, now that coronavirus cases have dropped.","Mr. Adams, a Democrat, has had regular conversations with some of the citys most influential business leaders, including David Solomon, chief executive at the banking firm Goldman Sachs, and Jonathan… [+1705 chars]","['#mr', '#adams', '#democrat', '#conversations', '#citys']"
2,Moderna Asks F.D.A. to Authorize a Second Booster for All Adults,2022-03-18T09:08:37Z,The request is significantly broader than the one filed by Pfizer and BioNTech for their coronavirus vaccine this week. Here’s the latest on Covid.,"A man receiving a second booster of a coronavirus vaccine in Tel Aviv. Moderna cited data in part from Israel in its request.Credit...Amir Cohen/Reuters
Moderna said late Thursday that it asked the … [+3031 chars]","['#moderna', '#man', '#receiving', '#booster', '#coronavirus']"
3,China Reports Its First Covid Deaths in Over a Year,2022-03-19T13:37:04Z,The two fatalities are the first coronavirus deaths to be officially recorded in the country since January 2021. Get the latest pandemic news.,"Scarcely two months after the Omicron variant drove coronavirus case numbers to frightening heights in the United States, scientists and health officials are bracing for another swell in the pandemic… [+10570 chars]","['#months', '#omicron', '#variant', '#drove', '#coronavirus']"
4,"Can Ashish Jha, ‘A Comforting Voice,’ Tamp Down Covid’s Political Divide?",2022-03-20T09:00:09Z,"Dr. Jha, the new White House coronavirus response coordinator, has built a reputation as a gifted communicator, but there is much more to the job.","Dr. Jha was born in Bihar, a state in eastern India that is among the poorest in that country. When he was nine, his parents moved their family to Toronto. He showed up, he told The Providence Journa… [+1974 chars]","['#dr', '#jha', '#born', '#bihar', '#state']"
5,"Preschoolers Can Shed Their Masks, Mayor Adams Says",2022-03-22T18:11:14Z,New York City plans to end the mask requirement for the city’s youngest children on April 4 if coronavirus cases remain low.,"Earlier this month, when Mr. Adams eliminated a mask mandate for older students in kindergarten through 12th grades, he said he wanted to wait to make a decision for children under 5. The mayor said … [+1774 chars]","['#said', '#month', '#mr', '#adams', '#eliminated']"
6,"2 Years After Declaring Pandemic, W.H.O. Urges Continued Vigilance",2022-03-11T09:29:44Z,"Exactly two years after saying that the coronavirus outbreak had become a pandemic, the agency says it isn’t over yet. One American public health expert added, “This virus has fooled us every time.”","The World Health Organization, often criticized for being too slow to declare in 2020 that a pandemic was underway, now says two years to the day after making that declaration that many countries are… [+4147 chars]","['#world', '#health', '#organization', '#criticized', '#declare']"
7,"Ukraine, Coronavirus, Pompeii: Your Friday Evening Briefing",2022-03-11T23:33:10Z,Here’s what you need to know at the end of the day.,"10. And finally, if he could turn back time 
Daylight saving time begins Sunday in the U.S., as clocks spring forward an hour and we gain an extra hour of daylight. In Britain, France and Germany, t… [+1185 chars]","['#time', '#daylight', '#hour', '#turn', '#saving']"
8,"Knocked Down by Covid in Beijing, Vincent Zhou Is Getting Back Up",2022-03-19T04:29:38Z,Zhou missed the men’s individual event at the Olympics because of the coronavirus. He is trying to shake off the memory in hopes of excelling at the figure skating world championships.,"Its a fair question. He double masked. He wore a face shield on flights. In China, he ate alone in the Olympic cafeteria, carefully pulling down his mask between bites. He often kept such a distance … [+1316 chars]","['#question', '#double', '#masked', '#wore', '#face']"
9,Rise of Omicron Subvariant in Europe Could Be Sign for U.S.,2022-03-17T09:29:24Z,"Past coronavirus surges in Europe have predicted what was to come in the United States, but experts say the trend is more a cause for caution than alarm. New York’s experience offers lessons to health experts.","A street festival in Cologne, Germany. Coronavirus cases are rising in Europe after many countries lifted most pandemic restrictions.Credit...Thilo Schmuelgen/Reuters
Experts warn that another coron… [+3741 chars]","['#street', '#festival', '#cologne', '#germany', '#coronavirus']"
10,Covid Vaccine Clinics Return to NYC Public Schools. Will They Work?,2022-03-24T14:09:56Z,"Adults in New York City have among the highest vaccination rates in the country. But the rates for children are far lower, raising concerns as coronavirus cases start to head back up.","While the clinics will help certain parents by making vaccines easier to access, they may not be enough to convince others, who have not been persuaded about the safety and efficacy of the shots and … [+1653 chars]","['#clinics', '#help', '#parents', '#making', '#vaccines']"
11,"Doug Emhoff, Vice President’s Husband, Tests Positive for the Coronavirus",2022-03-16T00:07:09Z,"Vice President Kamala Harris tested negative for the virus on Tuesday, an aide said, but Mr. Emhoff’s positive test forced her to back out of an event with President Biden.","Ms. Harris stood alongside Mr. Biden earlier Tuesday during a bill signing. She also was at the Presidents Daily Brief in the Oval Office, according to her schedule. Mr. Biden last received a negativ… [+1314 chars]","['#mr', '#biden', '#ms', '#harris', '#stood']"
12,Is the Coronavirus Pandemic Over? New Yorkers Are Cautiously Optimistic.,2022-03-04T16:16:44Z,"(*Or at least that’s the hope.) After several false starts, New York’s latest comeback finally feels like the real thing.","The arc of the pandemic, from the dark beginnings to this new awakening, is efficiently told through the story of the chef Sean Rembold, who has worked in some of Brooklyns best loved kitchens. For h… [+2357 chars]","['#arc', '#pandemic', '#beginnings', '#awakening', '#told']"
13,What you need to know about the coronavirus right now - Reuters.com,2022-03-10T13:05:00Z,What you need to know about the coronavirus right now  Reuters.com,"March 10 (Reuters) - Here's what you need to know about the coronavirus right now:
China's local symptomatic COVID cases nearly double
Mainland China reported 402 locally transmitted COVID-19 infec… [+3523 chars]","['#china', '#march', '#reuters', '#need', '#know']"
